condition,attack_pct,ci_low,ci_high,n,model,ci
BENIGN,0.0,0.0,3.7,100,Qwen/Qwen2.5-7B-Instruct,Wilson 95%
CONTROL,0.0,0.0,3.7,100,Qwen/Qwen2.5-7B-Instruct,Wilson 95%
POSITION,0.0,0.0,3.7,100,Qwen/Qwen2.5-7B-Instruct,Wilson 95%
KEYNAME,100.0,96.3,100.0,100,Qwen/Qwen2.5-7B-Instruct,Wilson 95%
ATTACKED,56.0,46.2,65.3,100,Qwen/Qwen2.5-7B-Instruct,Wilson 95%
